video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
h25aDe9Lvgs,UCXIJgqnII2ZOINSWNOGFThA,What happens if the homeless population gets infected with coronavirus?,Fox News,News & Politics,none,406499,9203,0,2895,2020-03-14T01:36:18Z,"health,homeless crisis,tuker carlson,tucker,carlson,tucker tonight,tucker carlson tonight,jason rantz,homelessness,homeless,coronavirus,coronavirus homeless crisis,california homeless crisis,california homeless coronavirus,homeless camp,covid-19,coronavirus test kits,state of emergency,pandemic,coronavirus pandemic,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus symptoms,coronavirus news,coronavirus outbreak",PT3M,hd,true,https://i.ytimg.com/vi/h25aDe9Lvgs/default.jpg,https://www.youtube.com/watch?v=h25aDe9Lvgs
0sKlL4k2-sc,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: How to fly during a pandemic - BBC News,BBC News,News & Politics,none,65623,653,0,156,2020-06-23T13:31:51Z,"bbc,bbc news,news,coronavirus,covid-19,travel,pandemic,lockdown,flying,holiday,airports,airline,Laura Foster",PT1M50S,hd,false,https://i.ytimg.com/vi/0sKlL4k2-sc/default.jpg,https://www.youtube.com/watch?v=0sKlL4k2-sc
RSZoDTvgEr8,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: Is there a link between the Severity of Covid-19 and Air pollution - BBC News,BBC News,News & Politics,none,107949,772,0,524,2020-04-15T11:55:58Z,"bbc,bbc news,news",PT5M5S,hd,false,https://i.ytimg.com/vi/RSZoDTvgEr8/default.jpg,https://www.youtube.com/watch?v=RSZoDTvgEr8
mmSJQul260g,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: What is a pandemic and why use the term now?  - BBC News,BBC News,News & Politics,none,419815,3184,0,869,2020-03-12T07:26:11Z,"bbc,bbc news,news,China coronavirus,coronavirus,coronavirus news,coronavirus symptoms,coronavirus latest,coronavirus cases,coronavirus deaths,corona virus,corona virus news,corona virus latest,china news,chinese news,world TV,BBC World,world news,covid 19,covid-19,Coronavirus Explained",PT7M45S,hd,false,https://i.ytimg.com/vi/mmSJQul260g/default.jpg,https://www.youtube.com/watch?v=mmSJQul260g
7fRmK51-Q5o,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: US Buys nearly all of Covid-19 drug remdesivir - BBC News,BBC News,News & Politics,none,67538,483,0,564,2020-07-02T10:10:02Z,"bbc,bbc news,news",PT4M3S,hd,false,https://i.ytimg.com/vi/7fRmK51-Q5o/default.jpg,https://www.youtube.com/watch?v=7fRmK51-Q5o
v8lVBHgucfs,UC16niRr50-MSBwiO3YDb3RA,Covid-19: China's painful year fighting the coronavirus - BBC News,BBC News,News & Politics,none,113071,1143,0,1903,2020-12-29T11:58:03Z,"bbc,bbc news,news",PT4M6S,hd,false,https://i.ytimg.com/vi/v8lVBHgucfs/default.jpg,https://www.youtube.com/watch?v=v8lVBHgucfs
gtf9j06EOvo,UC16niRr50-MSBwiO3YDb3RA,"Coronavirus: Nations heading in wrong direction with Covid-19, says WHO - BBC News",BBC News,News & Politics,none,111698,825,0,775,2020-07-14T11:19:56Z,"bbc,bbc news,news",PT9M40S,hd,false,https://i.ytimg.com/vi/gtf9j06EOvo/default.jpg,https://www.youtube.com/watch?v=gtf9j06EOvo
JP7OtUAVAjE,UC16niRr50-MSBwiO3YDb3RA,'Coronavirus ended our marriage' - BBC News,BBC News,News & Politics,none,93827,777,0,515,2020-12-05T17:00:18Z,"bbc,bbc news,news,divorce,marriage,relationships,covid,covid-19,vaccine,coronavirus,pandemic",PT6M57S,hd,false,https://i.ytimg.com/vi/JP7OtUAVAjE/default.jpg,https://www.youtube.com/watch?v=JP7OtUAVAjE
CuneZ1LhbQ0,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: Brazil records third-highest Covid-19 infection level - BBC News,BBC News,News & Politics,none,96043,673,0,263,2020-05-20T10:27:04Z,"bbc,bbc news,news",PT5M31S,hd,false,https://i.ytimg.com/vi/CuneZ1LhbQ0/default.jpg,https://www.youtube.com/watch?v=CuneZ1LhbQ0
v2r1cnTUnkE,UC16niRr50-MSBwiO3YDb3RA,Coronavirus crisis: China eases lockdown in Wuhan where the pandemic began - BBC News,BBC News,News & Politics,none,376816,2159,0,2937,2020-04-07T22:19:57Z,"bbc,bbc news,news,china,wuhan,lockdown,easing,restrictions,coronavirus,virus,infections,covid,covid-19,deaths,banks,lending,loans,business,businesses,emergency,NatWest,RBS,Alison Rose,Chief Executive,bank,Huw Edwards,John Sudworth,China Correspondent,Beijing,Simon Jack,Business Editor,infection",PT6M44S,hd,false,https://i.ytimg.com/vi/v2r1cnTUnkE/default.jpg,https://www.youtube.com/watch?v=v2r1cnTUnkE
T-1-mlAGu1Y,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: When your child's in intensive care with Covid-19 - BBC News,BBC News,News & Politics,none,164719,1358,0,0,2020-05-01T13:34:33Z,"bbc,bbc news,news,coronavirus,covid-19,pandemic,health,children",PT2M48S,hd,false,https://i.ytimg.com/vi/T-1-mlAGu1Y/default.jpg,https://www.youtube.com/watch?v=T-1-mlAGu1Y
NwPwj45CAIc,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: France's ancient burial brotherhood defies Covid-19 - BBC News,BBC News,News & Politics,none,64832,587,0,127,2020-06-14T10:43:53Z,"bbc,bbc news,news",PT2M19S,hd,false,https://i.ytimg.com/vi/NwPwj45CAIc/default.jpg,https://www.youtube.com/watch?v=NwPwj45CAIc
SLhGsTuE0ik,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: US supports lifting Covid-19 vaccine patents - BBC Newsnight,BBC News,News & Politics,none,85799,545,0,840,2021-05-05T23:13:02Z,"bbc,bbc news,news,Coronavirus,covid19,covid,intellectual property rights,Biden,Joe Biden,covid vaccines,pandemic,global pandemic,world trade organisation,WTO,David milliband,bbc newsnight,newsnight,miliband,maitlis,Emily maitlis",PT10M23S,hd,false,https://i.ytimg.com/vi/SLhGsTuE0ik/default.jpg,https://www.youtube.com/watch?v=SLhGsTuE0ik
BbJVVpQ-RYM,UC16niRr50-MSBwiO3YDb3RA,Yemen bracing for coronavirus outbreak - BBC News,BBC News,News & Politics,none,36024,376,0,0,2020-05-15T16:18:30Z,"bbc,bbc news,news,coronavirus,covid-19,Yemen,civil war",PT5M1S,hd,false,https://i.ytimg.com/vi/BbJVVpQ-RYM/default.jpg,https://www.youtube.com/watch?v=BbJVVpQ-RYM
lHVNvFX8Bfg,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: When can I get the COVID-19 vaccine? - BBC News,BBC News,News & Politics,none,142673,1107,0,1791,2020-11-27T10:33:17Z,"bbc,bbc news,news",PT4M18S,hd,false,https://i.ytimg.com/vi/lHVNvFX8Bfg/default.jpg,https://www.youtube.com/watch?v=lHVNvFX8Bfg
oKX_E7adVwg,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: Russia uses facial recognition to tackle Covid-19 - BBC News,BBC News,News & Politics,none,100821,1173,0,446,2020-04-07T11:59:22Z,"bbc,bbc news,news,coronavirus,covid-19,pandemic,health,Russia,surveillance,Sarah Rainsford,facial recognition",PT3M50S,hd,false,https://i.ytimg.com/vi/oKX_E7adVwg/default.jpg,https://www.youtube.com/watch?v=oKX_E7adVwg
eUsBzMYIKdA,UC16niRr50-MSBwiO3YDb3RA,Geneva meeting to discuss coronavirus outbreak - BBC News,BBC News,News & Politics,none,278457,2343,0,874,2020-02-11T12:38:43Z,"bbc,bbc news,news,coronavirus,corona virus,coronavirus news,coronavirus symptoms,corona,corona news,corona china,corona virus treatment",PT6M21S,hd,false,https://i.ytimg.com/vi/eUsBzMYIKdA/default.jpg,https://www.youtube.com/watch?v=eUsBzMYIKdA
E0S3Zcg9ZJo,UC16niRr50-MSBwiO3YDb3RA,Coronavirus: India overtakes Russia in Covid-19 cases - BBC News,BBC News,News & Politics,none,216982,1085,0,786,2020-07-06T13:08:40Z,"bbc,bbc news,news",PT2M46S,hd,false,https://i.ytimg.com/vi/E0S3Zcg9ZJo/default.jpg,https://www.youtube.com/watch?v=E0S3Zcg9ZJo
